_vid_,inferred_val,inferred_val_idx,prob
463,['jd'],0,0.5000176429748535
464,mr.,0,0.5686277151107788
465,2016-07-22t18:28:16-04:00,115,0.06037386134266853
466,female,0,0.9732147455215454
468,1,0,0.3333333432674408
469,['jd'],0,0.500028133392334
470,mr.,0,0.5938512682914734
472,female,0,0.9858810901641846
474,1,0,0.3333333432674408
475,['jd'],0,0.5000414848327637
476,ms.,1,0.9876602292060852
477,2016-07-22t18:28:16-04:00,115,0.06034580245614052
478,female,0,0.9784481525421143
479,m,0,0.60872882604599
480,1,0,0.3333333432674408
481,['jd'],0,0.500028133392334
482,ms.,2,0.48064860701560974
483,2016-07-22t18:28:16-04:00,115,0.0603732131421566
484,female,0,0.971484899520874
485,s,1,0.9140631556510925
486,1,0,0.3333333432674408
487,['jd'],0,0.5000414848327637
488,ms.,1,0.966451108455658
489,2016-07-22t18:28:16-04:00,115,0.060372792184352875
490,female,0,0.9791867733001709
492,1,0,0.3333333432674408
493,['jd'],0,0.5000414848327637
494,ms.,1,0.9848575592041016
495,2016-07-22t18:28:16-04:00,115,0.060345910489559174
496,female,0,0.9829282164573669
497,s,1,0.9156503677368164
498,1,0,0.3333333432674408
499,['jd'],0,0.5013236999511719
500,ms.,1,0.9689934253692627
501,2016-07-22t18:28:16-04:00,115,0.060373611748218536
502,female,0,0.9845342636108398
503,1,0,0.3333333432674408
504,['jd'],0,0.500028133392334
506,male,1,0.9736441969871521
508,1,0,0.3333333432674408
509,['jd'],0,0.5000176429748535
510,mr.,0,0.5488675832748413
511,2016-07-22t18:28:16-04:00,115,0.060205232352018356
512,female,0,0.9780263304710388
513,m,0,0.578733503818512
514,1,0,0.3333333432674408
515,['jd'],0,0.500028133392334
516,ms.,2,0.5044017434120178
518,male,0,0.9853796362876892
520,1,0,0.3333333432674408
521,['jd'],0,0.5000176429748535
522,mr.,0,0.733096718788147
524,female,0,0.9813342690467834
526,1,0,0.3333333432674408
527,['jd'],0,0.500028133392334
528,mr.,0,0.7411938905715942
529,2016-07-22t18:28:16-04:00,115,0.06037386134266853
530,female,0,0.9812373518943787
532,1,0,0.3333333432674408
533,['jd'],0,0.500028133392334
534,mr.,0,0.7873990535736084
535,2016-07-22t18:28:16-04:00,115,0.06037365272641182
536,male,1,0.9692287445068359
538,1,0,0.3333333432674408
539,['jd'],0,0.5000176429748535
540,mr.,0,0.5589684247970581
541,2016-07-22t18:28:16-04:00,115,0.06037386134266853
542,female,0,0.9778914451599121
544,1,0,0.3333333432674408
545,['jd'],0,0.500028133392334
546,mr.,0,0.7643293142318726
547,2016-07-22t18:28:16-04:00,115,0.060266897082328796
548,male,1,0.981613039970398
549,m,0,0.5677874088287354
550,1,0,0.3333333432674408
551,['jd'],0,0.5000176429748535
552,ms.,2,0.5604718327522278
